Mol1	O=C(Nc1cccc2cccnc12)c1cc(Br)ccc1Br
Mol412	COC(=O)c1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol413	NS(=O)(=O)NCCCCCC(=O)Nc1cccc2cccnc12
Mol414	O=[N+]([O-])c1ccc(COc2cccc3cccnc23)cc1
Mol415	CC(C)(C)c1ccc(C(=O)Nc2cccc3cccnc23)c(I)c1
Mol416	CC(=O)Nc1cccc2cc(O)ccc12
Mol417	COC(=O)NCCNc1cccc2cccnc12
Mol418	COCCCC(=O)Nc1cccc2cccnc12
Mol419	Cc1ccc(/C=C/C(=O)Nc2cccc3cccnc23)o1
Mol420	C/C(=N\NC(=O)COc1cccc2cccnc12)c1ccccc1
Mol421	COc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12
Mol422	CN(CCNc1ccc2ccccc2n1)CCNc1ccc2ccccc2n1
Mol423	O=S(=O)(O)c1ccnc2ccccc12
Mol424	O=Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol425	O=Cc1ccnc2ccccc12
Mol426	O=C(O)COc1cccc2cccnc12
Mol427	c1cnc2c(CNC3CC3)cccc2c1
Mol428	CCN(CC)C(=O)C(=O)Nc1cccc2cccnc12
Mol429	COc1ccccc1C(C)CCNc1cccc2cccnc12
Mol430	COC(=O)c1ccc(C(=O)c2cccc3cccnc23)cc1
Mol431	CC(=O)Nc1cccc2cccnc12
Mol432	C=C(C)COc1cccc2cccnc12
Mol433	Oc1ccc(-c2ccc3ccccc3n2)cc1
Mol434	O=C(Nc1cccc2cccnc12)c1cc(Cl)cc(Cl)c1
Mol435	COc1ccc(C(=O)Nc2cccc3cccnc23)c(I)c1
Mol436	Cc1ccccc1N=C(S)c1ccc2ccccc2n1
Mol437	Oc1cccc(-c2cnc3ccccc3c2)c1
Mol438	O=C(Nc1cccc2cccnc12)N1CCOCC1
Mol439	O=C(O)Cc1ccc2ccccc2n1
Mol440	O=S(=O)(Nc1cccc2cccnc12)c1c(Cl)cc(Cl)cc1Cl
Mol441	CCCCOc1cccc2ncccc12
Mol442	CC(CC#N)CC(=O)Nc1cccc2cccnc12
Mol443	O=C(Nc1cccc2cccnc12)C1CCCO1
Mol444	CC(C)(C)C1CC(=O)N(c2cccc3cccnc23)C1=O
Mol445	Brc1ccc(-c2ccc3ccccc3n2)cc1
Mol446	ClSc1cccc2cccnc12
Mol447	COc1cc(C(=O)Nc2cccc3cccnc23)cc(OC)c1OC
Mol448	O=C(CSc1cccc2cccnc12)N1CCOCC1
Mol449	CC(=O)Nc1ccc2[nH]c(-c3ccccn3)nc2c1
Mol450	Cc1ccc2ccc(Cl)cc2n1
Mol451	CNc1ccc2ccccc2n1
Mol452	CC(C)(CF)C(=O)Nc1cccc2cccnc12
Mol453	COC(=O)c1c(C)nn(Cc2cccc3cccnc23)c1C
Mol454	CCOC(Nc1cccc2cccnc12)C(F)(F)F
Mol455	O=C(COc1cccc2cccnc12)NNC(=O)Nc1ccccc1
Mol456	Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1Br
Mol457	Cc1ncc(-c2cccc3cccnc23)n1C
Mol458	COc1cccc(C(=O)Nc2cccc3cccnc23)c1
Mol459	BrC(Br)(Br)c1ccnc2ccccc12
Mol460	OC(c1ccccc1)c1cccc2cccnc12
Mol461	CC(=O)Nc1ccccc1C
Mol462	ClCCOCCOc1cccc2cccnc12
Mol463	CC(C)(O)C(=O)Nc1cccc2cccnc12
Mol464	c1ccc(Cc2ccnc3ccccc23)cc1
Mol465	CCNC(=O)Oc1cccc2cccnc12
Mol466	CCN(CC)C(=O)Sc1cccc2cccnc12
Mol467	BrCCOc1cccc2cccnc12
Mol468	c1ccc(Cc2ccc3ncccc3c2)cc1
Mol469	N=Cc1cccc2cccnc12
Mol470	Cc1cnc2c(NS(=O)(=O)c3ccccc3)cccc2c1
Mol471	O=C(COc1cccc2cccnc12)NCCO
Mol472	CCCc1cccc2ncccc12
Mol473	O=C(CCl)Nc1cccc2cccnc12
Mol474	NC(=S)c1cccc2cccnc12
Mol475	C=CCC(c1cccc2cccnc12)N(CC=C)c1ccc(C)cc1
Mol476	Oc1ccccc1/C=N/c1cccc2cccnc12
Mol477	Cl.Oc1cccc2cccnc12
Mol478	O=C(CC1CC1)Nc1cccc2cccnc12
Mol479	CC(=O)Nc1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol480	CN(C)C(=Nc1cccc2cccnc12)N(C)C
Mol481	O=C(NO)c1ccc(OCCNC(=O)c2cccc3cccnc23)cc1
Mol482	C=CC(C)C(=O)Nc1cccc2cccnc12
Mol483	CC(C)C(C(=O)Nc1cccc2cccnc12)C(C)CC#N
Mol484	OC(c1ccc(Cl)cc1)c1cccc2cccnc12
Mol485	O=C(/C=C/c1ccc(Br)cn1)Nc1cccc2cccnc12
Mol486	OCCCOc1cccc2cccnc12
Mol487	CC(=O)C(C)Cc1cccc(C)c1C(=O)Nc1cccc2cccnc12
Mol488	CN(C)C(=O)Cc1ccccc1NCc1cccc2cccnc12
Mol489	O=S(=O)(Nc1cccc2cccnc12)c1cc(F)cc(F)c1
Mol490	CN(C)Cc1cccc2cccnc12
Mol491	CCN(CC)Cc1cccc2cccnc12
Mol492	CCCOCC(=O)Nc1ncccc1NC(C)=O
Mol493	FC(F)c1ccnc2ccccc12
Mol494	CC(CCNc1cccc2cccnc12)c1ccccc1Cl
Mol495	COC1CCCC1C(=O)Nc1cccc2cccnc12
Mol496	Cc1cc(/C=C/c2ccc3ccccc3n2)cc(C)c1O
Mol497	O=S(O)c1cccc2cccnc12
Mol498	Fc1ccc(C(=S)Nc2cccc3cccnc23)cc1
Mol499	Cc1ccc(C(=O)OCc2cccc3cccnc23)cc1
Mol500	COc1cccc(C(=O)Nc2cccc3cccnc23)c1OC
Mol501	O=C(CCl)c1cccc2cccnc12
Mol502	O=C(Nc1cccc2cccnc12)c1ccc(F)cc1O
Mol503	CC(C)Cc1cccc2ncccc12
Mol504	O=C(CSc1cccc2cccnc12)c1ccccc1
Mol505	O=C(Cc1cccc2cccnc12)Nc1ccc(Cl)cc1
Mol506	CC(C)c1ccccc1Nc1cccc2cccnc12
Mol507	C/C=C/Cc1ccc(C)cc1C(=O)Nc1cccc2cccnc12
Mol508	CC1(C(=O)Nc2cccc3cccnc23)CCN1Cc1csc2ccccc12
Mol509	O=C(Nc1cccc2cccnc12)c1cc(F)c(O)c(F)c1
Mol510	CC(=O)CCc1c(F)ccc(F)c1C(=O)Nc1cccc2cccnc12
Mol511	O=P(O)(O)Oc1ccc2ccccc2n1
Mol512	Cc1ccc(OCC(C)(C)C(=O)Nc2cccc3cccnc23)cc1
Mol513	COc1cccc2ncccc12
Mol514	C=CCC(=C)CCC(=O)Nc1cccc2cccnc12
Mol515	O=C(OCc1cccc2cccnc12)c1ccccc1
Mol516	Cc1cc2ccccc2cn1
Mol517	CC(=O)CCc1ccc(Cl)cc1C(=O)Nc1cccc2cccnc12
Mol518	Cc1ccc(S(=O)(=O)Nc2cnc3ccccc3c2)cc1
Mol519	CCC(C)O/N=C/c1cccc2cccnc12
Mol520	COc1cccc(C(NC(C)=O)c2ccc3cccnc3c2O)c1
Mol521	CC(N)C(Cc1cccc2cccnc12)c1ccc(Cl)cc1
Mol522	CC/C=C(\C)C(=O)Nc1cccc2cccnc12
Mol523	COc1cc2c(Cc3cnc4ccccc4c3)cnc(C)c2cc1OC
Mol524	CCOC(COc1cccc2cccnc12)OCC
Mol525	CC(C)(C)c1cccc(/C=N/c2cccc3cccnc23)c1O
Mol526	CS(=O)(=O)Oc1cccc2cccnc12
Mol527	CSCCNC(=O)c1cccc2cccnc12
Mol528	FC(F)(F)c1ccccc1CNc1cccc2cccnc12
Mol529	O=C(CCO)Nc1cccc2cccnc12
Mol530	O=C(COc1cccc2cccnc12)Nc1cccc([N+](=O)[O-])c1
Mol531	COC(=O)c1cccc(-c2cccc3cccnc23)c1
Mol532	Nc1ccnc2ccccc12
Mol533	CC(=O)NC(c1ccc2ccccc2c1)c1ccc2cccnc2c1O
Mol534	Cc1ccc(Sc2cnc3ccccc3n2)cc1
Mol535	O=P(O)(O)c1cnc2ccccc2c1
Mol536	O=C(Nc1ccc(C(F)(F)F)cc1)c1cccc2cccnc12
Mol537	CN(C)C(=S)N/N=C/c1cccc2cccnc12
Mol538	Cc1ccc2ccccc2c1
Mol539	FC(F)(F)Sc1cccc2cccnc12
Mol540	Nc1cc(Br)ccc1C(=O)Nc1cccc2cccnc12
Mol541	Oc1c(C(Nc2cccc3cccnc23)c2ccccc2)ccc2cccnc12
Mol542	Cc1cnc2c(c1)C(=O)c1ccccc1C2=O
Mol543	O=C(O)CCOc1cccc2cccnc12
Mol544	Cc1nc2cccc(Nc3cccc4cccnc34)c2o1
Mol545	COC(=O)/C=C/c1cccc2cccnc12
Mol546	CCOCC(C)C(=O)Nc1cccc2cccnc12
Mol547	N#CCNC(=O)c1ccc2cccnc2c1O
Mol548	O=C(c1cccc2cccnc12)C1CCCCC1
Mol549	O=C(Nc1cccc2cccnc12)c1ccccc1[N+](=O)[O-]
Mol550	Cc1ccc(O)c(C(=O)Nc2cccc3cccnc23)c1
Mol551	Cc1ccc2c([N+](=O)[O-])cccc2n1
Mol552	S=C(S)c1ccc2cccnc2c1
Mol553	CN(C)C(=O)Oc1ccc2ccccc2n1
Mol554	CSS(=O)(=O)c1cccc2cccnc12
Mol555	O=C(Nc1cccc(Br)c1)Oc1cccc2cccnc12
Mol556	Fc1cc(F)cc(CSc2cccc3cccnc23)c1
Mol557	O=C(OCCCl)Oc1cccc2cccnc12
Mol558	Cc1ccc2ccc3ccc(C)nc3c2n1
Mol559	c1ccc2ncc(N3C4CCC3CC4)cc2c1
Mol560	Cc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12
Mol561	ClCOCCOc1cccc2cccnc12
Mol562	Cc1cccnc1C(=O)Nc1cccc2cccnc12
Mol563	C=C(C(=O)Nc1cccc2cccnc12)c1ccccc1F
Mol564	COc1cc(/C=C\c2cnc3ccccc3c2)cc(OC)c1OC
Mol565	COC(=O)CCC(CO)C(=O)Nc1cccc2cccnc12
Mol566	c1cnc2c(Nc3ccnc4ncnn34)cccc2c1
Mol567	CC(C)CC(O)c1cccc(COc2cccc3cccnc23)c1
Mol568	CC(CC(=O)Nc1cccc2cccnc12)c1ccnc(Cl)c1
Mol569	CCN(CC)C(=O)c1cccc2cccnc12
Mol570	O=C(c1ccc(Cl)cc1)c1cccc2cccnc12
Mol571	OC(c1ccc(C(F)(F)F)cc1)c1cccc2cccnc12
Mol572	O=S(=O)(Nc1cccc2cccnc12)c1cnccn1
Mol573	O=C(Nc1cccc2cccnc12)c1cccc(Cl)c1Cl
Mol574	O=C(Nc1cccc2cccnc12)c1c(O)cccc1Cl
Mol575	CCCOc1ccc2ccccc2n1
Mol576	O=C(O)c1ccccc1NC(=O)c1cccc2cccnc12
Mol577	C#CCOC(=O)c1cccc2cccnc12
Mol578	CC(C)(C)OCCC(=O)Nc1cccc2cccnc12
Mol579	CC(=O)/C=N/c1cccc2cccnc12
Mol580	N#C/C=C(\Sc1cccc2cccnc12)C1(O)CCCCC1
Mol581	C=CCCC(C=C)C(=O)Nc1cccc2cccnc12
Mol582	CC(C)(C)CC(=O)Nc1cccc2cccnc12
Mol583	Cc1ccc2cccc(O)c2n1
Mol584	CCOC(=CCc1cccc2cccnc12)OCC
Mol585	ClC(Cl)c1ccc2ccccc2n1
Mol586	C/C=C/Cc1ccc(OC)cc1C(=O)Nc1cccc2cccnc12
Mol587	O=S(=O)(CCCc1ccccc1)Nc1cccc2cccnc12
Mol588	CC(C)=CC(C)C(=O)c1cccc2cccnc12
Mol589	NCCSc1cccc2cccnc12
Mol590	Cc1cc(NC(N)=O)c2ncccc2c1
Mol591	CNCc1ccccc1C(=O)Nc1cccc2cccnc12
Mol592	O=S(=O)(Nc1cccc2cccnc12)C1CCCCC1
Mol593	O=C(O)c1cnccc1Oc1cccc2cccnc12
Mol594	CCCCc1ccc(C)cc1C(=O)Nc1cccc2cccnc12
Mol595	O=S(=O)(Nc1cccc2cccnc12)c1cccc(Cl)c1F
Mol596	CC(C)(F)C(=O)Nc1cccc2cccnc12
Mol597	CC1=CCCC(C)(C)C1COc1cccc2cccnc12
Mol598	O=C(CCl)Oc1cccc2cccnc12
Mol599	CNc1ccccc1Nc1cccc2cccnc12
Mol600	Cc1ccccc1OCC(C)(C)C(=O)Nc1cccc2cccnc12
Mol601	COc1ccc(C)nc1-c1cnc2ccccc2c1
Mol602	COc1ccc(S(=O)(=O)Nc2cccc3cccnc23)cc1
Mol603	CC(=O)Nc1cccc2c1C(=O)NC2=O
Mol604	Cc1cc(Br)cc(C)c1C(=O)Nc1cccc2cccnc12
Mol605	O=C(Nc1cccc2cccnc12)c1ccc(F)nc1
Mol606	O=C(O)Cc1ccccc1C(=O)Nc1cccc2cccnc12
Mol607	COc1ccc(Nc2cccc3cccnc23)cc1
Mol608	CC(=O)Nc1ccccc1/C=C/Br
Mol609	O=CCc1cccc2cccnc12
Mol610	O=S(=O)(Nc1cccc2cccnc12)c1cccc(Cl)c1
Mol611	O=C(CCCc1ccccc1)Nc1cccc2cccnc12
Mol612	CC(=O)c1ccc(C(=O)Nc2cccc3cccnc23)cc1
Mol613	CCOC(=O)C(Br)COc1cccc2cccnc12
Mol614	ClC(Cl)c1ccnc2ccccc12
Mol615	Nc1ccc2ncc(-c3cnc4ccccc4c3)nc2c1
Mol616	CC(C(=O)Nc1cccc2cccnc12)c1ccccc1
Mol617	Cc1ccc2ccc(-c3cccc(Cl)c3)cc2n1
Mol618	O=C(Nc1cccc2cccnc12)c1cnccc1O
Mol619	Cc1ccc(-c2cccc3cccnc23)cc1
Mol620	CN(c1ccc(C(F)(F)F)cc1)c1cccc2cccnc12
Mol621	C=C(CC)Cc1ccccc1OC(=O)c1cccc2cccnc12
Mol622	CC(C)(C)OC(=O)c1cccc2cccnc12
Mol623	O=C(Cc1cccc2cccnc12)Nc1ccccc1Cl
Mol624	CC(C)COc1ccc2ncccc2c1
Mol625	S=C(S)c1ccnc2ccccc12
Mol626	CC(=O)Nc1ccccc1C(F)(F)C(=O)NNc1ccccn1
Mol627	[11CH3]Nc1ccc(-c2ccc3ccccc3n2)cc1
Mol628	S=C(Nc1cccc2cccnc12)C1CC1
Mol629	COc1cc(Cc2cccc3cccnc23)cc(OC)c1
Mol630	O=S(=O)(Nc1cnc2ccccc2c1)c1ccccc1
Mol631	Cc1nc2cc3ccccc3cc2nc1C
Mol632	COc1cccc(NC(=O)Oc2cccc3cccnc23)c1
Mol633	CC(C(=O)c1cccc2cccnc12)c1ccccc1
Mol634	COCC(COC)C(=O)Nc1cccc2cccnc12
Mol635	O=S(=O)(/N=C/c1cccs1)c1cccc2cccnc12
Mol636	O=C(Nc1cccc2cccnc12)c1ccc(Br)cc1C(F)(F)F
Mol637	c1ccc(Cc2ccc3cccnc3c2)cc1
Mol638	Cc1cccc(C(=O)Nc2cccc3cccnc23)c1O
Mol639	Cc1cc(F)cc(C)c1C(=O)Nc1cccc2cccnc12
Mol640	COCCNc1ccc2ccccc2n1
Mol641	COc1ccc(C(=O)NCc2cccc3cccnc23)cc1
Mol642	N#C/C=C(\Sc1cccc2cccnc12)c1ccccc1
Mol643	COc1ccc(CCNc2cccc3cccnc23)cc1
Mol644	OCC(F)(F)c1cccc2cccnc12
Mol645	CC(C)C(CO)C(=O)Nc1cccc2cccnc12
Mol646	O=C(Nc1cccc2cccnc12)C1=CCCC1
Mol647	Cc1cc(NC(=O)COc2cccc3cccnc23)no1
Mol648	COc1ccc(NC(=O)c2cccc3cccnc23)cc1
Mol649	Oc1ccc(-c2cnc3ccccc3c2)cc1
Mol650	N#CCCCC(=O)Nc1cccc2cccnc12
Mol651	C=CC(CCCC)C(=O)Nc1cccc2cccnc12
Mol652	O=C1CCCC1C(=O)Nc1cccc2cccnc12
Mol653	O=[N+]([O-])c1ccc(/C=C/c2cccc3cccnc23)cc1
Mol654	OCc1ccc(CNc2cccc3cccnc23)cc1
Mol655	C(=N/c1cccc2cccnc12)\c1ccco1
Mol656	C=C(C(=O)Nc1cccc2cccnc12)c1ccccc1Cl
Mol657	C=C(C(=O)Nc1cccc2cccnc12)c1cccc(C)c1
Mol658	O=C(CBr)c1cccc2cccnc12
Mol659	COc1ccc(C#Cc2cccc3cccnc23)cc1
Mol660	Cc1ccc(C(=O)Nc2ccc3ccccc3n2)cc1
Mol661	Cc1cccc(OCC(C)(C)C(=O)Nc2cccc3cccnc23)c1
Mol662	O=C(NO)c1ccc(Nc2cccc3cccnc23)cc1
Mol663	CCCCC1=C(C(=O)Nc2cccc3cccnc23)CCCC1
Mol664	CC(=O)Nc1ccc(NC(=O)Nc2cccc3ccccc23)cc1
Mol665	Cc1nnc2ccccc2n1
Mol666	C/C=C(\C)C(=O)Nc1cccc2cccnc12
Mol667	Cc1ccc2cnc(-c3ccccc3)cc2n1
Mol668	OC/C=C(\F)c1cccc2cccnc12
Mol669	C(=N/c1cnc2ccccc2c1)\c1ccc2ccccc2n1
Mol670	CC(C)Cc1cnc2ccccc2c1
Mol671	COCC(C)O/N=C/c1cccc2cccnc12
Mol672	Cc1ccc2ccc(N(C)C)cc2n1
Mol673	CC(=O)c1cccc(C(=O)Nc2cccc3cccnc23)c1
Mol674	CC(C)NCC(O)COc1cccc2cccnc12
Mol675	Cc1cccnc1C#Cc1ccc2ccccc2n1
Mol676	C=C(C(=O)Nc1cccc2cccnc12)c1cccc(Cl)c1
Mol677	O=[N+]([O-])c1ccccc1Oc1cccc2cccnc12
Mol678	Cc1ccc(C(=O)Nc2cnc3ccccc3c2)cc1
Mol679	CC1(C(=O)Nc2cccc3cccnc23)CCN1Cc1ccccc1OC(F)F
Mol680	CCOc1ccc(C(=O)Nc2cccc3cccnc23)c(C(F)(F)F)c1
Mol681	CC1(C)CC(=O)N(c2cccc3cccnc23)C1
Mol682	CC(=O)C(=NNc1cccc2cccnc12)C(C)=O
Mol683	COc1ccc2cccnc2c1
Mol684	O/N=C/c1cccc2cccnc12
Mol685	O=C(NCC#Cc1ccccc1)c1cccc2cccnc12
Mol686	Cc1ccc2cc3ccccc3cc2c1
Mol687	O=C(CCc1cccc(C(F)(F)F)c1)Nc1cccc2cccnc12
Mol688	Cc1cccc2nc3ccccc3cc12
Mol689	COc1ccc(/N=C/c2cccc3cccnc23)cc1
Mol690	COc1cccc(CC(C)(CCl)C(=O)Nc2cccc3cccnc23)c1
Mol691	c1ccc2ncc(-c3ccncc3)cc2c1
Mol692	C=CCCOc1cccc2cccnc12
Mol693	CCOC(=O)NN(Cc1cccc2cccnc12)C(=O)OCC
Mol694	COCOc1cccc2cccnc12
Mol695	CC(C)(C)c1ccc2ccccc2n1
Mol696	CCOC(=O)CC(=O)c1cnc2ccccc2c1
Mol697	FC(F)c1cccc2cccnc12
Mol698	N#CCCCNc1cccc2cccnc12
Mol699	Cc1cc(C)n(-c2ccc3ccccc3n2)n1
Mol700	c1ccc(Oc2cccc3ncccc23)cc1
Mol701	COC(C)C(=O)Nc1cccc2cccnc12
Mol702	CC(=O)CSc1cccc2cccnc12
Mol703	O=S(=O)(Nc1cccc2cccnc12)c1ccc(Cl)cc1
Mol704	c1ccc(Oc2ccnc3ccccc23)cc1
Mol705	Cc1cccc2cc3ccccc3nc12
Mol706	C/C=C\Sc1cccc2cccnc12
Mol707	O=C(Nc1cccc2cccnc12)c1ccc2c(c1)CCCC2
Mol708	CC(C)(C)OC(=O)CNc1cccc2cccnc12
Mol709	C/C(=N\Nc1cccc2cccnc12)c1ccc[nH]1
Mol710	CCCC/C=C\CC(=O)Nc1cccc2cccnc12
Mol711	C#CCSc1cccc2cccnc12
Mol712	O=C(CCCCCCC(=O)Nc1cccc2cccnc12)NO
Mol713	CC(=O)Nc1ccccc1NC(=O)COc1cccc2ccccc12
Mol714	c1ccc2ncc(-c3cncnc3)cc2c1
Mol715	O=C(CN1CCCCC1)Nc1cccc2cccnc12
Mol716	c1coc(CNc2cccc3cccnc23)c1
Mol717	O=C(c1ccccc1)c1ccc2cccnc2c1
Mol718	CC(=O)Nc1cccc2ncccc12
Mol719	O=C(OCc1ccccc1)c1cccc2cccnc12
Mol720	CC(C)COc1cccc2cccnc12
Mol721	O=C(Nc1cccc2cccnc12)c1ccccc1
Mol722	Cc1cc2ccccc2nc1-c1ccccc1
Mol723	Brc1ccc(-c2cccc3cccnc23)nc1
Mol724	C=C(C)Cc1cc(C)ccc1OC(=O)c1cccc2cccnc12
Mol725	Cc1ccc2cc(N)ccc2n1
Mol726	CC(C)(C)c1ccnc2ccccc12
Mol727	O=C(COc1ccc(Cl)cc1Cl)Oc1cccc2cccnc12
Mol728	CNC(=O)COc1cccc2cccnc12
Mol729	Cc1cccc(/N=C/c2cccc3cccnc23)c1
Mol730	C=CSc1cccc2cccnc12
Mol731	Nc1cccc(Oc2cccc3cccnc23)c1
Mol732	c1cnc2c(-c3ccoc3)cccc2c1
Mol733	O=C(Nc1cccc2cccnc12)c1c(O)cccc1F
Mol734	O=C(CCBr)Nc1cccc2cccnc12
Mol735	O=C(Nc1cccc2cccnc12)c1csc(COCCO)n1
Mol736	COc1cccc(CC(=O)Nc2cccc3cccnc23)c1
Mol737	c1cnc2c(C3CS3)cccc2c1
Mol738	CC(=O)NC(=S)Nc1cccc2ccc(C)nc12
Mol739	Nc1ncc(Sc2cccc3cccnc23)s1
Mol740	Fc1ccc(C(Nc2cccc3cccnc23)C(F)(F)F)cc1
Mol741	C=C(C)CCn1cccc1C(O)c1cccc2cccnc12
Mol742	Nc1ccccc1C(=O)Oc1cccc2cccnc12
Mol743	COc1ccc(Sc2cccc3cccnc23)cc1
Mol744	CN(C(=O)C(C=O)C1CCCC1)c1cccc2cccnc12
Mol745	FC(F)Oc1cccc2cccnc12
Mol746	O=S(=O)(c1cccc2cccnc12)N1CCC2(CC1)NCCO2
Mol747	O=S(=O)(Nc1ccccc1)c1cnc2ccccc2c1
Mol748	Cc1cc(C)cc(Nc2ccc3ccccc3n2)c1
Mol749	O=C(Nc1cccc2cccnc12)c1ccc(I)cc1O
Mol750	CC(C)Oc1cnc2ccccc2c1
Mol751	Cc1ccc(C(=O)Nc2cccc3cccnc23)c(F)c1
Mol752	C=CC(CC(=O)Nc1cccc2cccnc12)c1ccccc1
Mol753	Cc1cncn1CCCNC(=S)Nc1cccc2cccnc12
Mol754	O=[N+]([O-])c1ccc2ncccc2c1
Mol755	Cc1c(F)cccc1C(=O)Nc1cccc2cccnc12
Mol756	CS(=O)(=O)Nc1cccc2cccnc12
Mol757	CNC(=N)c1cccc2cccnc12
Mol758	O=C(/C=C/c1ccc(CNc2cccc3cccnc23)cc1)NO
Mol759	Nc1cc(F)ccc1C(=O)Nc1cccc2cccnc12
Mol760	NOCc1cccc2cccnc12
Mol761	O=C(Nc1ccc(Cl)cc1)c1cccc2cccnc12
Mol762	Nc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12
Mol763	COc1cc(NCCC(=O)O)c2ncccc2c1
Mol764	O=C(Nc1cccc2cccnc12)c1cccs1
Mol765	COc1cccc(C(C)CC(=O)Nc2cccc3cccnc23)c1
Mol766	O=C(Nc1cccc2cccnc12)OC(Cl)(Cl)Cl
Mol767	COc1ccc(C(C)CCNc2cccc3cccnc23)cc1
Mol768	O=CNCc1ccccc1C(=O)Nc1cccc2cccnc12
Mol769	Cc1ccc(C(=O)/C=C/c2cccc3cccnc23)c(C)c1
Mol770	COc1ccc(C(=O)CCSc2cccc3cccnc23)cc1
Mol771	N#CCOc1cccc2cccnc12
Mol772	Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1C
Mol773	COc1cc(C)cc(OC)c1C(=O)Nc1cccc2cccnc12
Mol774	CC(c1nc[nH]c1CO)c1cccc2cccnc12
Mol775	CC(C)c1cnc2ccccc2c1
Mol776	c1coc(-c2ccc3ccccc3n2)c1
Mol777	COc1ccc2ncccc2c1
Mol778	CC1CC1C(=O)Nc1cccc2cccnc12
Mol779	O=C(O)c1c(F)cccc1-c1cccc2cccnc12
Mol780	O=C(Nc1cccc2cccnc12)c1ccc(Br)o1
Mol781	Cc1cc(Nc2cccc3cccnc23)n2nccc2n1
Mol782	C=CCc1cc(Br)ccc1C(=O)Nc1cccc2cccnc12
Mol783	Cc1ccc(C(=O)c2cccc3cccnc23)cc1C
Mol784	O=C(OCc1cccc2cccnc12)c1ccc(Cl)cc1
Mol785	Cc1ccc2ccc3cccnc3c2n1
Mol786	Fc1cc(F)cc(SNc2cccc3cccnc23)c1
Mol787	CN(C)c1ccc2ccccc2n1
Mol788	C=CCN(C(C)=O)c1cccc2cccnc12
Mol789	c1ccc(-c2cccc3cccnc23)nc1
Mol790	COc1ccc(O)c(C(=O)Nc2cccc3cccnc23)c1
Mol791	CCCCc1ccc(Cl)cc1C(=O)Nc1cccc2cccnc12
Mol792	CCOC(=O)C(C)Oc1cccc2cccnc12
Mol793	NC(=O)Cc1cccc2cccnc12
Mol794	C(=N/Nc1ccccc1)\c1cccc2cccnc12
Mol795	N#Cc1cccc(S(=O)(=O)Nc2cccc3cccnc23)c1
Mol796	FC(F)(F)c1ccnc2ccccc12
Mol797	Cc1nnc2c(cnc3ccccc32)n1
Mol798	CC(O)CSc1cccc2cccnc12
Mol799	Cc1ccccc1S(=O)(=O)Nc1cccc2cccnc12
Mol800	CC(CC(=O)Nc1cccc2cccnc12)C1CCCC1
Mol801	c1ccc(-c2ccc3ncccc3c2)cc1
Mol802	C=Cc1ccc2ccccc2n1
Mol803	CC(C)C(C)(C)C(=O)Nc1cccc2cccnc12
Mol804	Cc1ccc2cccc(NC(=O)C(F)(F)F)c2n1
Mol805	CCC/C=C/c1ccc2ccccc2n1
Mol806	Cc1[nH]ncc1S(=O)(=O)Nc1cccc2cccnc12
Mol807	OCC#Cc1cnc2ccccc2c1
Mol808	Cc1cccc(CC(=O)Nc2cccc3cccnc23)c1
Mol809	O=[N+]([O-])c1cccc(Nc2cccc3cccnc23)c1
Mol810	O=S(O)c1ccc2cccnc2c1
Mol811	CCc1ccc(C)cc1C(=O)Nc1cccc2cccnc12
Mol812	CC(=O)Nc1ccccc1Sc1ncccc1[N+](=O)[O-]
Mol813	CC(C)(C)OC(=O)c1ccc2ncccc2c1
Mol814	CCC(=O)N1CCC1(C)C(=O)Nc1cccc2cccnc12
Mol815	CCNC(=S)Nc1cccc2cccnc12
Mol816	CC(CC=O)COc1cccc2cccnc12
Mol817	Cc1cc(C=O)c(C)n1-c1cccc2cccnc12
Mol818	COc1cccc(C(F)CC(=O)Nc2cccc3cccnc23)c1
Mol819	CC(C)(C)C(=O)NCc1cccc2cccnc12
Mol820	O=C(Nc1ccc(Cl)cc1)Oc1cccc2cccnc12
Mol821	O=C(Nc1cccc2cccnc12)c1cccc(Br)c1
Mol822	C=CCc1ccc(OC)cc1C(=O)Nc1cccc2cccnc12
Mol823	CC(=O)Nc1cccc2c1ccc1ccccc12
Mol824	CC(C)(CSC(F)(F)F)C(=O)Nc1cccc2cccnc12
Mol825	O=C(Cl)Nc1cccc2cccnc12
Mol826	Cc1cc(C)nc(-c2ccc3ccc(C)nc3c2)n1
Mol827	c1ccc(-c2nnnn2-c2cnc3ccccc3c2)cc1
Mol828	O=C(S)c1cnc2ccccc2c1
Mol829	C=CB(Oc1cccc2cccnc12)c1cccc(F)c1
Mol830	c1ccc2ncc(-c3nn[nH]n3)cc2c1
Mol831	O=[N+]([O-])c1ccnc2ccccc12
Mol832	C/C=C/CC(=O)Nc1cccc2cccnc12
Mol833	C=CCNC(=O)Nc1cccc2cccnc12
Mol834	O=C(Oc1cccc2cccnc12)c1ccc(Cl)cc1
